Incidence Rate Report by State

"Brain & ONS (All Stages^), 2017-2021"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

Compared by Sex

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"New York(7)",36000,5.3 ,5.1, 5.5,29 , 20 , 40,634,falling,-0.8 ,-1.3, -0.4
"Oregon(6)",41000,5.3 ,4.9, 5.8,30 , 8 , 45,132,falling,-4.2 ,-15.4, -1.4
"North Carolina(6)",37000,5.3 ,5, 5.6,31 , 16 , 42,328,stable,-0.4 ,-1.1, 0.2
"Oklahoma(6)",40000,5.3 ,4.9, 5.7,32 , 9 , 46,119,falling,-1.1 ,-1.6, -0.7
"South Carolina(6)",45000,5.2 ,4.8, 5.6,33 , 14 , 46,165,stable,-0.7 ,-1.5, 0.1
"Georgia(7)",13000,5.2 ,4.9, 5.4,34 , 22 , 45,309,stable,-0.4 ,-0.8, 0.0
"Texas(7)",48000,5.2 ,5, 5.3,35 , 26 , 42,780,falling,-4.4 ,-6.2, -2.1
"Arizona(6)",04000,5.1 ,4.8, 5.4,36 , 21 , 47,212,falling,-1.6 ,-7.7, -0.7
"Maryland(6)",24000,5.1 ,4.7, 5.4,37 , 21 , 47,186,falling,-1.1 ,-1.7, -0.5
"Illinois(7)",17000,5 ,4.8, 5.3,38 , 26 , 46,377,falling,-1.2 ,-7.5, -0.1
"Michigan(6)",26000,5 ,4.8, 5.3,39 , 25 , 47,303,falling,-1.5 ,-2.3, -0.8
"Virginia(6)",51000,4.9 ,4.7, 5.2,40 , 27 , 48,244,falling,-8.3 ,-16.0, -2.0
"Mississippi(6)",28000,4.8 ,4.4, 5.3,41 , 23 , 49,82,falling,-1.0 ,-1.9, -0.1
"Louisiana(7)",22000,4.8 ,4.5, 5.2,42 , 26 , 49,128,stable,0.1 ,-0.7, 0.8
"Nevada(6)",32000,4.8 ,4.3, 5.3,43 , 24 , 49,83,stable,-0.7 ,-2.1, 0.7
"California(7)",06000,4.8 ,4.6, 4.9,44 , 38 , 48,1047,falling,-0.6 ,-0.9, -0.2
"New Mexico(7)",35000,4.7 ,4.2, 5.3,45 , 20 , 49,60,stable,0.4 ,-0.3, 1.2
"Alaska(6)",02900,4.7 ,3.7, 5.9,46 , 3 , 50,17,stable,-1.2 ,-3.8, 1.4
"South Dakota(6)",46000,4.4 ,3.6, 5.4,47 , 11 , 50,22,falling,-3.1 ,-12.6, -0.9
"North Dakota(6)",38000,4.4 ,3.5, 5.4,48 , 9 , 50,19,stable,-1.8 ,-4.4, 0.9
"District of Columbia(6)",11001,4.2 ,3.3, 5.3,49 , 14 , 50,15,*,*,*,*
"Puerto Rico(6)",72001,3.5 ,3.1, 3.9,N/A , N/A , N/A,69,falling,-2.4 ,-5.0, -1.0
"Hawaii(7)",15000,3.2 ,2.6, 3.8,50 , 48 , 50,26,stable,-0.9 ,-1.8, 0.2
"Indiana(6)",18000,data not available ,data not available, data not available,N/A , N/A , N/A,data not available,data not available,data not available,data not available,data not available

Created by statecancerprofiles.cancer.gov on 11/17/2025 10:58 pm.

State Cancer Registries may provide more current or more local data.
"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) Summary/Historic Combined Summary Stage (2004+) [ https://seer.cancer.gov/tools/ssm/ ]."
* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category.
Data not available [http://statecancerprofiles.cancer.gov/datanotavailable.html] for this combination of data selections.
Source: SEER and NPCR data. For more specific information please see the table.

Data for the United States does not include data from Indiana.
Data for the United States does not include Puerto Rico.
