Incidence Rate Report by State

"Lung & Bronchus (All Stages^), 2017-2021"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Texas(7)",48000,46.2 ,45.9, 46.6,39 , 39 , 42,13521,falling,-4.4 ,-5.2, -3.7
"Montana(6)",30000,46.2 ,44.6, 47.8,40 , 38 , 43,712,falling,-2.5 ,-7.0, -1.4
"Idaho(7)",16000,44.9 ,43.7, 46.2,41 , 39 , 43,992,falling,-4.4 ,-7.0, -1.6
"Nevada(6)",32000,44.7 ,43.7, 45.7,42 , 40 , 43,1665,falling,-4.9 ,-10.0, -3.6
"District of Columbia(6)",11001,44.7 ,42.4, 47.1,43 , 38 , 44,299,falling,-2.4 ,-2.9, -1.9
"Arizona(6)",04000,42.3 ,41.7, 42.9,44 , 43 , 44,4014,falling,-5.3 ,-7.3, -4.0
"Hawaii(7)",15000,39.8 ,38.5, 41.1,45 , 45 , 46,809,falling,-2.0 ,-4.0, -1.4
"Wyoming(6)",56000,39.2 ,37.1, 41.3,46 , 45 , 48,292,falling,-2.0 ,-2.7, -1.3
"Colorado(6)",08000,37.7 ,37, 38.4,47 , 46 , 48,2407,falling,-4.3 ,-7.3, -1.9
"California(7)",06000,36.7 ,36.5, 37,48 , 47 , 48,16402,falling,-3.0 ,-3.7, -2.7
"New Mexico(7)",35000,32.7 ,31.8, 33.7,49 , 49 , 49,921,falling,-5.3 ,-7.2, -4.1
"Utah(7)",49000,24.9 ,24.1, 25.7,50 , 50 , 50,712,falling,-0.9 ,-1.2, -0.6
"Puerto Rico(6)",72001,15.1 ,14.6, 15.6,N/A , N/A , N/A,694,falling,-2.6 ,-6.1, -1.4
"Indiana(6)",18000,data not available ,data not available, data not available,N/A , N/A , N/A,data not available,data not available,data not available,data not available,data not available

Created by statecancerprofiles.cancer.gov on 11/03/2025 4:54 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"[trend note] Incidence data come from different sources. The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint. Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ [ https://statecancerprofiles.cancer.gov/historicaltrend/differences.html ] for selected counties."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) Summary/Historic Combined Summary Stage (2004+) [ https://seer.cancer.gov/tools/ssm/ ]."
"[rank note]Results presented with the CI*Rank statistics help show the usefulness of ranks. For example, ranks for relatively rare diseases or less populated areas may be essentially meaningless because of their large variability, but ranks for more common diseases in densely populated regions can be very useful. More information about methodology can be found on the CI*Rank website."
Data not available [http://statecancerprofiles.cancer.gov/datanotavailable.html] for this combination of data selections.
"1 Source: National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] and Surveillance, Epidemiology, and End Results [ http://seer.cancer.gov ] SEER*Stat Database - United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute. Based on the 2023 submission."
"5 Source: National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] and Surveillance, Epidemiology, and End Results [ http://seer.cancer.gov ] SEER*Stat Database - United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute. Based on the 2023 submission."
"6 Source: National Program of Cancer Registries SEER*Stat Database - United States Department of Health and Human Services, Centers for Disease Control and Prevention (based on the 2023 submission).  [ https://www.cdc.gov/cancer/npcr/index.htm ]"
7 Source: SEER November 2023 submission.
"8 Source: Incidence data provided by the SEER Program. ( http://seer.cancer.gov ) AAPCs are calculated by the Joinpoint Regression Program ( https://surveillance.cancer.gov/joinpoint/ ) and are based on APCs. Data are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modified by NCI. The US Population Data ( http://seer.cancer.gov/popdata/ ) File is used with SEER November 2023 data."

Data for the United States does not include data from Indiana.
Data for the United States does not include Puerto Rico.
