Incidence Rate Report by State

"Colon & Rectum (All Stages^), 2017-2021"

"All Races (includes Hispanic), Male, All Ages"

Sorted by CI*Rank

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Missouri(6)",29000,44.3 ,43.2, 45.3,14 , 8 , 22,1546,stable,-0.3 ,-1.5, 1.5
"Hawaii(7)",15000,44.2 ,42.3, 46.3,15 , 5 , 25,391,falling,-2.1 ,-3.0, -1.8
"Iowa(7)",19000,43.8 ,42.4, 45.2,16 , 7 , 24,799,falling,-2.6 ,-3.1, -2.4
"Kansas(6)",20000,43.8 ,42.3, 45.3,17 , 7 , 24,701,falling,-2.2 ,-2.9, -1.5
"Nebraska(6)",31000,43.7 ,41.9, 45.6,18 , 6 , 26,461,stable,-1.5 ,-2.4, 0.4
"South Dakota(6)",46000,43.7 ,41, 46.5,19 , 5 , 32,218,falling,-2.5 ,-3.3, -1.6
"North Dakota(6)",38000,43.2 ,40.3, 46.2,20 , 5 , 35,180,falling,-2.9 ,-3.7, -2.1
"New Jersey(7)",34000,42.9 ,42.1, 43.7,21 , 15 , 25,2220,stable,-0.9 ,-1.8, 0.5
"Montana(6)",30000,42.3 ,40.1, 44.7,22 , 8 , 35,285,falling,-1.8 ,-2.6, -0.9
"Pennsylvania(6)",42000,42.1 ,41.4, 42.8,23 , 18 , 26,3279,falling,-2.3 ,-2.8, -0.9
"District of Columbia(6)",11001,41.9 ,38.5, 45.4,24 , 6 , 44,123,falling,-2.5 ,-4.0, -1.1
"South Carolina(6)",45000,41 ,39.9, 42.1,25 , 20 , 33,1209,stable,-1.5 ,-2.3, 0.6
"New York(7)",36000,40.9 ,40.3, 41.4,26 , 22 , 31,4574,falling,-1.4 ,-1.8, -0.9
"Minnesota(6)",27000,40.6 ,39.6, 41.6,27 , 22 , 35,1278,stable,-0.7 ,-1.8, 1.5
"Florida(6)",12000,40.5 ,40.1, 41,28 , 23 , 32,5690,falling,-1.4 ,-1.9, -0.7
"North Carolina(6)",37000,40.3 ,39.5, 41,29 , 23 , 35,2291,falling,-1.3 ,-1.8, -0.4
"Wyoming(6)",56000,40.2 ,37.1, 43.5,30 , 11 , 48,138,falling,-1.8 ,-2.9, -0.7
"Michigan(6)",26000,39.7 ,38.9, 40.4,31 , 26 , 38,2316,falling,-2.8 ,-4.1, -1.8
"Idaho(7)",16000,39.6 ,37.8, 41.4,32 , 22 , 45,395,stable,0.4 ,-2.0, 4.4
"Maryland(6)",24000,39.1 ,38.2, 40.1,33 , 27 , 42,1297,stable,-0.6 ,-1.9, 1.9
"Wisconsin(6)",55000,38.6 ,37.6, 39.5,34 , 30 , 44,1321,stable,-1.1 ,-3.3, 0.6
"Vermont(6)",50000,38.5 ,35.7, 41.5,35 , 20 , 49,156,stable,1.7 ,-1.7, 7.9
"Delaware(6)",10000,38.4 ,36.1, 40.8,36 , 22 , 48,225,falling,-5.7 ,-8.5, -4.0
"Nevada(6)",32000,38.4 ,37, 39.7,37 , 29 , 46,671,falling,-2.7 ,-3.1, -2.3
"Connecticut(7)",09000,38.3 ,37.1, 39.6,38 , 29 , 45,796,stable,-0.5 ,-1.9, 1.8
"New Hampshire(6)",33000,38.3 ,36.4, 40.3,39 , 25 , 48,326,stable,-1.0 ,-2.4, 2.6
"Maine(6)",23000,38.2 ,36.3, 40.1,40 , 25 , 48,344,stable,-1.4 ,-2.4, 0.1
"Washington(5)",53000,38 ,37.1, 38.9,41 , 32 , 45,1569,stable,-0.4 ,-1.6, 1.8
"Virginia(6)",51000,37.9 ,37.1, 38.8,42 , 32 , 45,1774,stable,-1.1 ,-1.9, 0.9
"California(7)",06000,37.7 ,37.3, 38.1,43 , 36 , 45,7769,falling,-1.2 ,-1.7, -0.2
"New Mexico(7)",35000,37.4 ,35.8, 39,44 , 30 , 48,453,stable,-0.8 ,-2.2, 2.0
"Arizona(6)",04000,36.2 ,35.4, 37.1,45 , 42 , 49,1502,falling,-2.0 ,-2.4, -1.6
"Rhode Island(6)",44000,36.2 ,34, 38.4,46 , 32 , 50,227,stable,-1.3 ,-3.3, 3.0
"Oregon(6)",41000,36.1 ,35, 37.2,47 , 41 , 49,891,falling,-2.5 ,-2.9, -2.1
"Massachusetts(7)",25000,35.6 ,34.8, 36.5,48 , 43 , 49,1392,falling,-2.4 ,-3.1, -1.5
"Colorado(6)",08000,34.7 ,33.7, 35.7,49 , 46 , 50,1040,falling,-1.3 ,-1.8, -0.7
"Utah(7)",49000,32.5 ,31.1, 33.9,50 , 49 , 50,443,stable,0.8 ,-2.7, 5.1
"Puerto Rico(6)",72001,44.7 ,43.3, 46.1,N/A , N/A , N/A,848,falling,-2.2 ,-5.2, -1.3
"Indiana(6)",18000,data not available ,data not available, data not available,N/A , N/A , N/A,data not available,data not available,data not available,data not available,data not available

Created by statecancerprofiles.cancer.gov on 11/16/2025 11:18 pm.

State Cancer Registries may provide more current or more local data.
"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) Summary/Historic Combined Summary Stage (2004+) [ https://seer.cancer.gov/tools/ssm/ ]."
"[rank note]Results presented with the CI*Rank statistics help show the usefulness of ranks. For example, ranks for relatively rare diseases or less populated areas may be essentially meaningless because of their large variability, but ranks for more common diseases in densely populated regions can be very useful. More information about methodology can be found on the CI*Rank website."
Data not available [http://statecancerprofiles.cancer.gov/datanotavailable.html] for this combination of data selections.
Source: SEER and NPCR data. For more specific information please see the table.

Data for the United States does not include data from Indiana.
Data for the United States does not include Puerto Rico.
CI*Rank data for Puerto Rico is not available.
