Incidence Rate Report by State

"Leukemia (All Stages^), 2017-2021"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Compared by Cancer

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Missouri(6)",29000,14.4 ,14, 14.8,22 , 13 , 27,1075,rising,0.6 ,0.2, 1.0
"Rhode Island(6)",44000,14.1 ,13.2, 15.1,23 , 10 , 37,187,stable,0.3 ,-0.5, 1.2
"Louisiana(7)",22000,14.1 ,13.6, 14.6,24 , 16 , 31,747,rising,0.7 ,0.1, 1.3
"Nebraska(6)",31000,13.8 ,13.1, 14.6,25 , 15 , 36,308,falling,-6.3 ,-10.1, -2.1
"Michigan(6)",26000,13.8 ,13.5, 14.1,26 , 22 , 32,1722,stable,-1.7 ,-6.0, 0.1
"Illinois(7)",17000,13.8 ,13.5, 14.1,27 , 22 , 32,2044,stable,-0.2 ,-0.4, 0.1
"New Hampshire(6)",33000,13.8 ,13, 14.6,28 , 13 , 38,248,falling,-2.8 ,-7.7, -0.8
"Arkansas(6)",05000,13.6 ,13.1, 14.2,29 , 21 , 36,492,stable,-2.2 ,-8.0, 0.4
"Oklahoma(6)",40000,13.5 ,13, 14,30 , 23 , 37,609,stable,-0.7 ,-1.7, 0.2
"Vermont(6)",50000,13.4 ,12.3, 14.7,31 , 12 , 45,115,stable,-0.5 ,-2.0, 1.0
"Tennessee(6)",47000,13.3 ,12.9, 13.6,32 , 26 , 38,1066,falling,-2.2 ,-6.8, -0.5
"Oregon(6)",41000,13.2 ,12.8, 13.7,33 , 25 , 39,676,stable,-3.7 ,-7.3, 0.2
"Delaware(6)",10000,13 ,12.1, 13.9,34 , 21 , 46,163,falling,-3.5 ,-8.9, -0.7
"Massachusetts(7)",25000,12.8 ,12.5, 13.2,35 , 30 , 41,1082,falling,-5.3 ,-9.9, -0.8
"Maryland(6)",24000,12.7 ,12.4, 13.1,36 , 31 , 42,904,stable,-0.7 ,-4.2, 0.7
"Ohio(6)",39000,12.7 ,12.4, 13,37 , 33 , 42,1807,stable,0.3 ,0.0, 0.5
"Mississippi(6)",28000,12.6 ,12.1, 13.2,38 , 30 , 44,437,falling,-1.1 ,-3.1, -0.1
"Colorado(6)",08000,12.4 ,12, 12.9,39 , 33 , 44,762,falling,-2.0 ,-2.5, -1.5
"Alaska(6)",02900,12.4 ,11.2, 13.7,40 , 23 , 49,89,stable,-0.6 ,-1.9, 0.8
"New Mexico(7)",35000,12.4 ,11.8, 13.1,41 , 31 , 47,317,falling,-5.1 ,-8.9, -0.2
"California(7)",06000,12.2 ,12, 12.3,42 , 38 , 45,5197,falling,-1.1 ,-1.5, -0.9
"Wyoming(6)",56000,12.1 ,10.9, 13.3,43 , 25 , 50,84,stable,0.4 ,-1.4, 2.5
"South Carolina(6)",45000,11.9 ,11.5, 12.3,44 , 39 , 47,739,falling,-5.3 ,-7.9, -3.2
"Alabama(6)",01000,11.7 ,11.3, 12.1,45 , 40 , 48,700,falling,-6.9 ,-10.2, -3.9
"Arizona(6)",04000,11.6 ,11.3, 12,46 , 41 , 48,986,stable,-1.4 ,-8.7, 0.3
"Nevada(6)",32000,11.5 ,11, 12.1,47 , 40 , 49,393,falling,-9.9 ,-19.8, -1.5
"Virginia(6)",51000,10.8 ,10.5, 11.1,48 , 47 , 50,1054,falling,-4.2 ,-6.9, -0.4
"District of Columbia(6)",11001,10.4 ,9.3, 11.6,49 , 41 , 50,69,stable,0.3 ,-2.1, 2.7
"Hawaii(7)",15000,10.3 ,9.6, 11,50 , 47 , 50,187,falling,-2.2 ,-4.9, -0.9
"Puerto Rico(6)",72001,9.9 ,9.5, 10.4,N/A , N/A , N/A,388,stable,0.2 ,-9.7, 2.3
"Indiana(6)",18000,data not available ,data not available, data not available,N/A , N/A , N/A,data not available,data not available,data not available,data not available,data not available

Created by statecancerprofiles.cancer.gov on 11/17/2025 9:41 am.

State Cancer Registries may provide more current or more local data.
"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) Summary/Historic Combined Summary Stage (2004+) [ https://seer.cancer.gov/tools/ssm/ ]."
Data not available [http://statecancerprofiles.cancer.gov/datanotavailable.html] for this combination of data selections.
Source: SEER and NPCR data. For more specific information please see the table.

Data for the United States does not include data from Indiana.
Data for the United States does not include Puerto Rico.
