Incidence Rate Report by State

"Melanoma of the Skin (All Stages^), 2017-2021"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

Compared by Sex

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Oregon(6)",41000,20.2 ,19.4, 21,22 , 18 , 27,524,falling,-4.6 ,-12.2, -1.5
"Georgia(7)",13000,19.7 ,19.2, 20.2,23 , 20 , 27,1200,stable,-0.8 ,-4.0, 0.9
"Illinois(7)",17000,19.6 ,19.2, 20.1,24 , 20 , 27,1478,rising,3.4 ,2.8, 4.1
"Florida(6)",12000,19.6 ,19.3, 20,25 , 21 , 27,2944,rising,2.2 ,1.6, 2.9
"Maryland(6)",24000,19.3 ,18.7, 20,26 , 21 , 29,733,stable,2.6 ,-3.1, 7.4
"Arkansas(6)",05000,18.7 ,17.8, 19.7,27 , 22 , 33,331,stable,-3.4 ,-8.0, 2.3
"Alabama(6)",01000,18.4 ,17.7, 19.1,28 , 25 , 33,559,rising,2.4 ,1.3, 3.7
"Nevada(6)",32000,17.9 ,17, 18.9,29 , 26 , 36,321,rising,8.1 ,4.3, 14.4
"South Carolina(6)",45000,17.8 ,17.1, 18.5,30 , 27 , 35,575,stable,0.4 ,-0.3, 1.1
"California(7)",06000,17.6 ,17.3, 17.8,31 , 28 , 34,4016,rising,1.2 ,0.9, 1.6
"Colorado(6)",08000,17.5 ,16.9, 18.2,32 , 27 , 37,556,stable,0.0 ,-0.6, 0.6
"Michigan(6)",26000,17.4 ,16.9, 17.9,33 , 28 , 36,1058,stable,0.5 ,-0.3, 1.4
"Pennsylvania(6)",42000,16.9 ,16.5, 17.4,34 , 31 , 38,1403,falling,-4.9 ,-8.2, -2.8
"Rhode Island(6)",44000,16.6 ,15.2, 18,35 , 27 , 44,119,falling,-7.9 ,-15.5, -0.5
"Virginia(6)",51000,16.5 ,16, 17,36 , 33 , 41,855,stable,0.6 ,-0.5, 1.7
"Oklahoma(6)",40000,16.4 ,15.6, 17.2,37 , 31 , 42,370,stable,1.4 ,0.0, 2.9
"New Jersey(7)",34000,16.3 ,15.8, 16.7,38 , 34 , 42,971,stable,-0.5 ,-1.7, 0.1
"Missouri(6)",29000,16.2 ,15.6, 16.8,39 , 34 , 42,583,stable,1.4 ,-5.8, 2.4
"Hawaii(7)",15000,16.1 ,14.9, 17.4,40 , 29 , 45,150,rising,2.2 ,1.5, 3.0
"Tennessee(6)",47000,16.1 ,15.5, 16.6,41 , 34 , 42,671,stable,-0.2 ,-2.3, 1.0
"Mississippi(6)",28000,15 ,14.2, 15.9,42 , 38 , 46,260,rising,1.8 ,1.1, 2.6
"Connecticut(7)",09000,14.9 ,14.2, 15.7,43 , 39 , 46,360,falling,-2.2 ,-3.1, -1.6
"Massachusetts(7)",25000,14.8 ,14.3, 15.3,44 , 41 , 46,668,falling,-14.7 ,-21.2, -7.5
"New York(7)",36000,14.3 ,14, 14.6,45 , 43 , 47,1827,stable,0.5 ,-0.2, 1.1
"Louisiana(7)",22000,13.4 ,12.8, 14.1,46 , 45 , 48,361,rising,2.8 ,2.3, 3.4
"New Mexico(7)",35000,13.4 ,12.5, 14.4,47 , 44 , 48,180,stable,0.2 ,-0.7, 1.2
"Alaska(6)",02900,13 ,11.3, 14.8,48 , 41 , 49,47,stable,1.6 ,-0.3, 3.9
"Texas(7)",48000,11 ,10.7, 11.2,49 , 48 , 49,1661,rising,3.5 ,1.6, 7.0
"District of Columbia(6)",11001,6.5 ,5.4, 7.8,50 , 50 , 50,26,stable,-0.2 ,-2.1, 1.7
"Puerto Rico(6)",72001,2.7 ,2.4, 3.1,N/A , N/A , N/A,55,rising,3.4 ,0.3, 6.8
"Indiana(6)",18000,data not available ,data not available, data not available,N/A , N/A , N/A,data not available,data not available,data not available,data not available,data not available

Created by statecancerprofiles.cancer.gov on 11/17/2025 9:21 am.

State Cancer Registries may provide more current or more local data.
"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) Summary/Historic Combined Summary Stage (2004+) [ https://seer.cancer.gov/tools/ssm/ ]."
Data not available [http://statecancerprofiles.cancer.gov/datanotavailable.html] for this combination of data selections.
Source: SEER and NPCR data. For more specific information please see the table.

Data for the United States does not include data from Indiana.
Data for the United States does not include Puerto Rico.
