Incidence Rate Report by State

"Colon & Rectum (All Stages^), 2017-2021"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Compared by Cancer

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Michigan(6)",26000,35.4 ,34.9, 35.9,29 , 24 , 35,4433,falling,-3.3 ,-5.9, -1.3
"North Carolina(6)",37000,35.4 ,34.9, 35.9,30 , 24 , 35,4394,falling,-1.6 ,-2.8, -0.9
"Idaho(7)",16000,35.3 ,34.1, 36.5,31 , 23 , 41,726,stable,1.7 ,-0.5, 3.8
"Wyoming(6)",56000,35.2 ,33.2, 37.4,32 , 19 , 45,244,stable,1.9 ,-2.1, 7.3
"Maryland(6)",24000,35.2 ,34.5, 35.8,33 , 24 , 38,2566,stable,-0.6 ,-1.5, 1.2
"Maine(6)",23000,35 ,33.8, 36.3,34 , 23 , 43,672,stable,-0.8 ,-2.1, 2.0
"Wisconsin(6)",55000,34.6 ,34, 35.2,35 , 28 , 41,2511,stable,-1.1 ,-1.8, 0.3
"Washington(5)",53000,34.2 ,33.7, 34.8,36 , 32 , 43,2964,stable,-0.7 ,-1.3, 0.3
"New Hampshire(6)",33000,34.2 ,32.9, 35.5,37 , 25 , 45,614,stable,-1.3 ,-2.5, 2.0
"Nevada(6)",32000,34 ,33.2, 34.9,38 , 30 , 44,1218,falling,-2.5 ,-2.8, -2.2
"Connecticut(7)",09000,33.9 ,33.1, 34.7,39 , 31 , 44,1542,stable,-0.8 ,-2.1, 1.4
"Virginia(6)",51000,33.8 ,33.3, 34.3,40 , 34 , 44,3401,falling,-1.1 ,-1.5, -0.5
"Delaware(6)",10000,33.7 ,32.2, 35.2,41 , 26 , 48,432,falling,-5.0 ,-6.6, -3.8
"California(7)",06000,33.5 ,33.2, 33.7,42 , 38 , 44,14745,falling,-1.0 ,-1.4, -0.5
"New Mexico(7)",35000,32.9 ,31.9, 34,43 , 35 , 48,846,stable,-0.3 ,-1.4, 2.0
"Vermont(6)",50000,32.7 ,30.9, 34.5,44 , 29 , 49,281,stable,-0.6 ,-2.9, 3.0
"Oregon(6)",41000,32.5 ,31.8, 33.3,45 , 40 , 48,1688,stable,-1.6 ,-2.3, 0.0
"Rhode Island(6)",44000,32.1 ,30.7, 33.5,46 , 37 , 49,449,stable,0.2 ,-3.5, 3.6
"Arizona(6)",04000,31.8 ,31.3, 32.4,47 , 43 , 49,2772,falling,-1.9 ,-2.3, -1.6
"Colorado(6)",08000,31.3 ,30.7, 32,48 , 45 , 49,1955,falling,-1.1 ,-1.5, -0.7
"Massachusetts(7)",25000,31.3 ,30.8, 31.9,49 , 45 , 49,2687,falling,-2.5 ,-3.0, -1.7
"Utah(7)",49000,29.3 ,28.4, 30.2,50 , 50 , 50,829,stable,0.5 ,-2.1, 3.5
"Indiana(6)",18000,data not available ,data not available, data not available,N/A , N/A , N/A,data not available,data not available,data not available,data not available,data not available

Created by statecancerprofiles.cancer.gov on 11/17/2025 9:40 am.

State Cancer Registries may provide more current or more local data.
"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) Summary/Historic Combined Summary Stage (2004+) [ https://seer.cancer.gov/tools/ssm/ ]."
Data not available [http://statecancerprofiles.cancer.gov/datanotavailable.html] for this combination of data selections.
Source: SEER and NPCR data. For more specific information please see the table.

Data for the United States does not include data from Indiana.
Data for the United States does not include Puerto Rico.
