Incidence Rate Report by State

"Melanoma of the Skin (All Stages^), 2017-2021"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

Compared by Sex

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Ohio(6)",39000,31.4 ,30.8, 32,19 , 15 , 21,2104,rising,2.8 ,2.2, 3.5
"Washington(5)",53000,30.7 ,29.9, 31.5,20 , 16 , 23,1278,rising,0.6 ,0.1, 1.1
"California(7)",06000,29.7 ,29.3, 30,21 , 20 , 25,6013,stable,-0.2 ,-2.6, 1.0
"Maine(6)",23000,29.6 ,28, 31.3,22 , 16 , 32,273,stable,0.7 ,-0.1, 1.5
"South Carolina(6)",45000,29.5 ,28.6, 30.4,23 , 20 , 27,858,stable,-4.2 ,-9.5, 0.2
"Wisconsin(6)",55000,28.7 ,27.9, 29.5,24 , 21 , 31,998,stable,2.5 ,-2.2, 5.8
"Wyoming(6)",56000,28.6 ,26, 31.3,25 , 16 , 40,100,rising,1.6 ,0.1, 3.4
"Nevada(6)",32000,28.3 ,27.2, 29.5,26 , 21 , 34,494,stable,-1.3 ,-6.1, 5.0
"Illinois(7)",17000,28.1 ,27.5, 28.6,27 , 23 , 33,1948,rising,2.9 ,2.6, 3.3
"Oregon(6)",41000,27.9 ,26.9, 28.9,28 , 23 , 35,699,falling,-3.9 ,-11.6, -0.8
"North Dakota(6)",38000,27.7 ,25.4, 30.1,29 , 19 , 42,114,rising,8.3 ,0.3, 15.0
"Arkansas(6)",05000,27.6 ,26.5, 28.8,30 , 23 , 37,466,stable,-2.9 ,-9.3, 3.7
"Virginia(6)",51000,27.4 ,26.7, 28.1,31 , 25 , 36,1270,stable,0.7 ,-0.6, 2.1
"Oklahoma(6)",40000,27.2 ,26.2, 28.3,32 , 24 , 38,569,falling,-2.9 ,-5.3, -1.3
"West Virginia(6)",54000,27.2 ,25.8, 28.6,33 , 23 , 39,318,rising,1.7 ,0.9, 2.6
"New Jersey(7)",34000,26.9 ,26.3, 27.6,34 , 27 , 37,1386,stable,0.3 ,-0.2, 0.6
"Colorado(6)",08000,26.5 ,25.6, 27.4,35 , 28 , 39,788,stable,0.4 ,-0.3, 1.1
"Tennessee(6)",47000,26.3 ,25.6, 27.1,36 , 30 , 39,991,stable,-0.3 ,-1.5, 0.7
"Alabama(6)",01000,25.6 ,24.8, 26.5,37 , 32 , 42,715,stable,-0.6 ,-2.4, 0.5
"Mississippi(6)",28000,25.4 ,24.3, 26.6,38 , 31 , 43,396,stable,1.1 ,-1.5, 1.9
"Pennsylvania(6)",42000,25 ,24.5, 25.5,39 , 36 , 42,1965,falling,-4.9 ,-6.5, -3.6
"Michigan(6)",26000,24.7 ,24.1, 25.3,40 , 37 , 43,1438,rising,0.7 ,0.3, 1.2
"Louisiana(7)",22000,24.5 ,23.6, 25.5,41 , 36 , 44,597,stable,0.2 ,-6.0, 2.7
"Rhode Island(6)",44000,24.5 ,22.7, 26.3,42 , 32 , 46,155,falling,-5.6 ,-10.2, -3.2
"Connecticut(7)",09000,23.6 ,22.6, 24.5,43 , 39 , 46,493,falling,-1.6 ,-2.7, -0.9
"Missouri(6)",29000,23.5 ,22.8, 24.3,44 , 40 , 45,820,stable,0.3 ,-0.4, 0.9
"New York(7)",36000,22 ,21.6, 22.4,45 , 44 , 47,2449,stable,0.2 ,-0.5, 0.8
"Massachusetts(7)",25000,22 ,21.3, 22.7,46 , 44 , 47,860,falling,-14.7 ,-21.9, -7.1
"New Mexico(7)",35000,21.7 ,20.5, 22.9,47 , 43 , 48,270,stable,2.2 ,-1.3, 7.8
"Texas(7)",48000,20.2 ,19.9, 20.6,48 , 47 , 49,2670,rising,2.7 ,1.0, 6.0
"Alaska(6)",02900,16.9 ,15, 19.1,49 , 48 , 50,63,rising,2.3 ,0.3, 4.7
"District of Columbia(6)",11001,14.9 ,12.9, 17.1,50 , 49 , 50,42,rising,2.7 ,0.9, 4.9
"Puerto Rico(6)",72001,4.2 ,3.8, 4.7,N/A , N/A , N/A,77,stable,-0.8 ,-12.6, 3.1
"Indiana(6)",18000,data not available ,data not available, data not available,N/A , N/A , N/A,data not available,data not available,data not available,data not available,data not available

Created by statecancerprofiles.cancer.gov on 11/17/2025 9:21 am.

State Cancer Registries may provide more current or more local data.
"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) Summary/Historic Combined Summary Stage (2004+) [ https://seer.cancer.gov/tools/ssm/ ]."
Data not available [http://statecancerprofiles.cancer.gov/datanotavailable.html] for this combination of data selections.
Source: SEER and NPCR data. For more specific information please see the table.

Data for the United States does not include data from Indiana.
Data for the United States does not include Puerto Rico.
